job_id,title,company,city,country,posted_date,employment_type,is_internship,is_remote,applicant_count,url
4381109869,Praktikum Marketing & Sales (Growth) bei SHAVENT - Remote in DE möglich,SHAVENT - ARA Sustainable Products UG (haftungsbeschränkt),Germany,Germany,2026-03-04 22:41:41,Remote,True,True,,https://www.linkedin.com/jobs/view/4381109869
4371177038,Business Development & Operations Intern (w/m/d),Enpal,Berlin,Germany,2026-03-26 14:50:51,Internship,True,False,65 applicants,https://www.linkedin.com/jobs/view/4371177038
4381874362,Praktikum Vertriebsprojekte,Lidl in Germany,Kerpen,Germany,2026-03-09 18:36:02,Full-time,True,False,,https://www.linkedin.com/jobs/view/4381874362
4386671388,Trainee on the Job – Business Development & Logistik Gebrauchtwagen (m/w/d),Stellantis,Rüsselsheim,Germany,2026-03-23 11:09:30,Hybrid,False,False,71 applicants,https://www.linkedin.com/jobs/view/4386671388
4390705835,Praktikum Sales Operations & Backoffice (m/w/d),PAYBACK,Munich,Germany,2026-03-26 01:00:00,Hybrid,True,False,,https://www.linkedin.com/jobs/view/4390705835
4364026859,"DEU Business Development Intern - 12 Months, Amazon University Talent Acquisition",Amazon,Munich,Germany,2026-03-24 13:10:14,Full-time,True,False,,https://www.linkedin.com/jobs/view/4364026859
4386785615,(Junior) Produktmanager (m/w/d) Produktexzellenz im Strategy Office,CHECK24 Vergleichsportal GmbH,Munich,Germany,2026-03-17 16:05:53,On-site,False,False,,https://www.linkedin.com/jobs/view/4386785615
4390823417,Munich Re Service GmbH - Junior Product Manager - Insurance (m/f/d)*,Munich Re,Munich,Germany,2026-03-26 08:25:23,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4390823417
4380322899,(Junior) Digital Produktmanager (m/w/d) für unser neuestes Vergleichsprodukt Camper,CHECK24 Vergleichsportal GmbH,Augsburg,Germany,2026-03-03 13:50:52,On-site,False,False,,https://www.linkedin.com/jobs/view/4380322899
4392394865,Business Development Intern (w/m/d) ,MINTH GROUP,Unterschleißheim,Germany,2026-03-30 09:58:28,On-site,True,False,3 applicants,https://www.linkedin.com/jobs/view/4392394865
4389089254,(Junior) Produktmanager (m/w/d) Digital Ferienwohnungen,CHECK24 Vergleichsportal GmbH,Düsseldorf,Germany,2026-03-23 13:40:35,On-site,False,False,,https://www.linkedin.com/jobs/view/4389089254
4362295142,Praktikum internationale Vertriebssteuerung,Porsche AG,Stuttgart,Germany,2026-03-24 17:20:55,On-site,True,False,,https://www.linkedin.com/jobs/view/4362295142
4381880937,Praktikum Vertrieb,Lidl in Germany,Bad Rappenau,Germany,2026-03-09 19:42:56,Full-time,True,False,,https://www.linkedin.com/jobs/view/4381880937
4387942131,Junior Product Manager (m/w/d) – Pflegesoftware / Healthcare SaaS,Deutsches Medizinrechenzentrum GmbH,Düsseldorf,Germany,2026-03-20 11:56:16,On-site,False,False,,https://www.linkedin.com/jobs/view/4387942131
4384036330,Junior Produktmanager (m/w/d) in Voll- oder Teilzeit (ab 25 Stunden/Woche),Petlando,Mering,Germany,2026-03-16 11:03:17,On-site,False,False,,https://www.linkedin.com/jobs/view/4384036330
4391157717,Junior Product Manager (m/w/d) Sonderanfertigung / Custom-Made Implants,implantcast GmbH,Buxtehude,Germany,2026-03-26 21:13:37,On-site,False,False,,https://www.linkedin.com/jobs/view/4391157717
4388450596,Junior Product Manger (Buying - Private Label),Lookiero,Berlin,Germany,2026-03-24 17:20:43,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4388450596
4386887822,Praktikum KI After Sales (w/m/d),Volkswagen Group,Wolfsburg,Germany,2026-03-18 16:49:15,On-site,True,False,,https://www.linkedin.com/jobs/view/4386887822
4382499633,Sales Engineering Intern m/f/d,Texas Instruments Europe,Garching,Germany,2026-03-11 01:32:44,Volunteer,True,False,,https://www.linkedin.com/jobs/view/4382499633
4382071146,"Praktikum im Bereich HR, Sales, Marketing & Office Management (m/w/d) in Frankfurt am Main",sifamo GmbH,Frankfurt,Germany,2026-03-10 14:40:32,On-site,True,False,,https://www.linkedin.com/jobs/view/4382071146
4377301019,(Pflicht-)Praktikum Sales & Communications (m/w/d),Beautinda,Germany,Germany,2026-03-02 07:06:52,Remote,True,True,,https://www.linkedin.com/jobs/view/4377301019
4343196497,Praktikum (all genders) ETF-Sales bei BNP Paribas Asset Management,BNP Paribas Asset Management,Frankfurt,Germany,2026-02-28 11:54:37,On-site,True,False,,https://www.linkedin.com/jobs/view/4343196497
4386893465,Praktikum TV Product Management & Sales (m/w/d),ProSiebenSat.1 Media SE,Munich,Germany,2026-03-18 15:56:13,On-site,True,False,,https://www.linkedin.com/jobs/view/4386893465
4379948249,Management Trainee (f/m/d) - Business Development Automation & Intralogistics solutions,KION Group,Aschaffenburg,Germany,2026-03-24 15:26:12,Full-time,False,False,,https://www.linkedin.com/jobs/view/4379948249
4385466474,Praktikum Business Development/ Sales (m/w/d),prepmymeal,Frankfurt,Germany,2026-03-19 15:40:08,On-site,True,False,,https://www.linkedin.com/jobs/view/4385466474
4357830002,Praktikum - Business Development Sales Europe (w/m/d),AUDI AG,Ingolstadt,Germany,2026-03-18 14:23:35,On-site,True,False,,https://www.linkedin.com/jobs/view/4357830002
4377784179,Praktikum Projektmanagement Vertrieb (m/w/d),Geberit Deutschland,Pfullendorf,Germany,2026-03-24 16:10:49,Full-time,True,False,,https://www.linkedin.com/jobs/view/4377784179
4391551638,(Junior) Product Marketing Manager - Direktmarketing & Content (m/w/d),VNR Group,Bonn,Germany,2026-03-27 09:54:52,On-site,False,False,,https://www.linkedin.com/jobs/view/4391551638
4392260812,Fashion Business Development Trainee - B2B (m/w/d) - Teilzeit oder Vollzeit,Ricano,Bonn,Germany,2026-03-27 09:19:10,On-site,False,False,,https://www.linkedin.com/jobs/view/4392260812
4351480671,Associate Product Manager | Compensation & Performance Management,Kienbaum,Cologne,Germany,2026-03-02 11:08:47,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4351480671
4381876719,Praktikum Vertriebsprojekte,Lidl in Germany,Grifte,Germany,2026-03-09 18:48:24,Full-time,True,False,,https://www.linkedin.com/jobs/view/4381876719
3618237685,(Junior) Product Manager Wheeled Goods (m/f/d),CYBEX,Bayreuth,Germany,2026-03-11 13:52:37,Full-time,False,False,,https://www.linkedin.com/jobs/view/3618237685
4381884304,Praktikum Vertrieb (4 Wochen),Lidl in Germany,Darmstadt,Germany,2026-03-09 18:41:23,Full-time,True,False,,https://www.linkedin.com/jobs/view/4381884304
4382142338,Intern oder Junior Product Managemet (f/m/d),Planted,Memmingen,Germany,2026-03-19 19:49:17,On-site,True,False,,https://www.linkedin.com/jobs/view/4382142338
4385070166,Praktikum Produktdatenmanagement und Markteinführung,Porsche AG,Stuttgart,Germany,2026-03-18 21:16:41,On-site,True,False,,https://www.linkedin.com/jobs/view/4385070166
4382709014,"Praktikum im Bereich Digital Transformation Praktikumsstart: nach Absprache, Dauer: 6 Monate",Lufthansa Technik,Hamburg,Germany,2026-03-11 18:15:37,Full-time,True,False,,https://www.linkedin.com/jobs/view/4382709014
4389759054,Praktikum im Bereich Sales Product Intelligence (m/w/d),KUKA,Augsburg,Germany,2026-03-24 17:35:34,On-site,True,False,,https://www.linkedin.com/jobs/view/4389759054
4389183137,Business Development - Working Student / Intern,ARCHIVIST,Munich,Germany,2026-03-25 07:00:14,On-site,True,False,,https://www.linkedin.com/jobs/view/4389183137
4362624862,Praktikum - Business Development / Client Relations and Sales (w/m/d),Deutsche Börse Group,Frankfurt,Germany,2026-03-27 16:40:53,Hybrid,True,False,,https://www.linkedin.com/jobs/view/4362624862
4391094304,Werkstudent Digitales Produktmanagement (m/w/d),TruckScout24,Essen,Germany,2026-03-26 16:10:39,€18/hr,False,False,,https://www.linkedin.com/jobs/view/4391094304
4391562081,Intern Business Development (m/f/d),Westwing,Munich,Germany,2026-03-27 09:32:26,Hybrid,True,False,,https://www.linkedin.com/jobs/view/4391562081
4385305430,Junior Produktmanager (m/w/d) Fintechbereich,Computer Futures,Frankfurt am Main,Germany,2026-03-13 07:33:59,€50K/yr - €65K/yr,False,False,,https://www.linkedin.com/jobs/view/4385305430
4361849450,Praktikum Vertrieb Produkt- & Serviceentwicklung,Porsche AG,Stuttgart,Germany,2026-03-25 17:09:05,On-site,True,False,,https://www.linkedin.com/jobs/view/4361849450
4381887507,Praktikum Vertrieb (4 Wochen),Lidl in Germany,Fulda,Germany,2026-03-09 18:57:17,Full-time,True,False,,https://www.linkedin.com/jobs/view/4381887507
4389758155,Junior Product Manger (Buying - Private Label),OUTFITTERY,Berlin,Germany,2026-03-24 17:39:28,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4389758155
4379259743,Praktikum im Bereich Sales (m/w/d),TAG Heuer,Oberursel,Germany,2026-03-21 11:13:22,On-site,True,False,,https://www.linkedin.com/jobs/view/4379259743
4392680220,Praktikum Marketing & Sales Startup,dreamteam,Germany,Germany,2026-03-27 16:09:44,Remote,True,True,,https://www.linkedin.com/jobs/view/4392680220
4379815712,Praktikant - Business Development (m/w/d),The Pioneer,Berlin,Germany,2026-03-05 09:38:59,On-site,True,False,,https://www.linkedin.com/jobs/view/4379815712
4386615202,Business Development Intern (m/f/x) | Climate Tech Startup,tozero,Karlsfeld,Germany,2026-03-22 08:29:41,"€2,230/month",True,False,,https://www.linkedin.com/jobs/view/4386615202
4378844280,Praktikum im Bereich Automotive Sales (m/w/d),KUKA,Augsburg,Germany,2026-03-10 15:10:00,On-site,True,False,,https://www.linkedin.com/jobs/view/4378844280
4382872523,Associate Global Product Manager,Interface,Weinheim,Germany,2026-03-19 14:13:08,On-site,False,False,,https://www.linkedin.com/jobs/view/4382872523
4388050798,Praktikum - After Sales Disposition (w/m/d),AUDI AG,Neckarsulm,Germany,2026-03-24 16:58:12,On-site,True,False,,https://www.linkedin.com/jobs/view/4388050798
4344666139,Praktikum Sales Analytics & Strategic Sales (m/w/d),Danone,Munich,Germany,2026-03-26 16:41:22,Hybrid,True,False,,https://www.linkedin.com/jobs/view/4344666139
4384486613,Praktikum – Digitales After Sales Business (w/m/d),AUDI AG,Ingolstadt,Germany,2026-03-17 16:31:18,On-site,True,False,,https://www.linkedin.com/jobs/view/4384486613
